id;first_name;last_name;email;staff_status
1;;;jpbcserviciotecnico@gmail.com;
36;prueba;prueba;prueba@prueba.com;administrator
38;Nuevo132;usuario;nuevo@usuario.com;user
47;Nuevo;usuario;nuevo1@usuario2.com;customer
48;otro;nuevo;otro@nuevo.com;customer
49;nuevo;prueba;nuevo@prueba.com;customer
63;nueva;prueba2;nueva@prueba2.com;customer
64;nuevo;usuario3;nuevo@usuario3.com;customer
65;nueva;prueba;nueva@prueba.com;customer
68;vamos;ultima;vamos@ultima.com;customer
69;nueva;prueba2000;nueva@prueba2000.com;customer
70;ultima;prueba2500;ultima@prueba2500.com;customer
71;ultima;prueba3000;ultima@prueba3000.com;customer
72;ultima;prueba3001;ultima@prueba3001.com;customer
73;ultima;prueba3002;ultima@prueba3002.com;customer
74;nueva;prueba;ultima@prueba3003.com;customer
75;nueva;prueba;nueva@prueba5000.com;customer
76;fallo;provocado;fallo@email.es;customer
77;registro;nuevo;registro@nuevo.com;customer
